round,pickInRound,overallPick,teamId,teamAbbrev,teamLogoLight,teamLogoDark,teamPickHistory,positionCode,countryCode,height,weight,amateurLeague,amateurClubName,year,scrapedOn,source,teamName.default,teamName.fr,teamCommonName.default,teamPlaceNameWithPreposition.default,teamPlaceNameWithPreposition.fr,displayAbbrev.default,firstName.default,lastName.default,teamCommonName.fr
2,5,37,15,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_dark.svg,BOS-WSH,C,SWE,73,194,SWEDEN-JR.,Modo Jr.,2025,2026-01-02T20:32:03.315224,NHL Draft API,Washington Capitals,Capitals de Washington,Capitals,Washington,de Washington,WSH,Milton,Gastrin,
2,6,38,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,SEA-PHI,D,USA,78,232,NTDP - USHL,USA U-18,2025,2026-01-02T20:32:03.315224,NHL Draft API,Philadelphia Flyers,Flyers de Philadelphie,Flyers,Philadelphia,de Philadelphie,PHI,Carter,Amico,
2,7,39,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,BUF-PIT,D,CAN,78,195,WHL,Swift Current,2025,2026-01-02T20:32:03.315224,NHL Draft API,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,Pittsburgh,de Pittsburgh,PIT,Peyton,Kettles,
2,8,40,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,ANA-PHI,LW,USA,73,198,NTDP - USHL,USA U-18,2025,2026-01-02T20:32:03.315224,NHL Draft API,Philadelphia Flyers,Flyers de Philadelphie,Flyers,Philadelphia,de Philadelphie,PHI,Jack,Murtagh,
2,9,41,12,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,PIT-MTL-CAR,G,RUS,75,203,RUSSIA-JR.,Spartak Jr.,2025,2026-01-02T20:32:03.315224,NHL Draft API,Carolina Hurricanes,Hurricanes de la Caroline,Hurricanes,Carolina,de la Caroline,CAR,Semyon,Frolov,
2,10,42,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,NYI,RW,RUS,78,219,RUSSIA-JR.,Dynamo St. Petersburg Jr.,2025,2026-01-02T20:32:03.315224,NHL Draft API,New York Islanders,Islanders de New York,Islanders,New York,de New York,NYI,Daniil,Prokhorov,
2,11,43,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg,NYR-UTA-COL-NYR,LW,CAN,73,190,OHL,Erie,2025,2026-01-02T20:32:03.315224,NHL Draft API,New York Rangers,Rangers de New York,Rangers,New York,de New York,NYR,Malcolm,Spence,
2,12,44,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,DET,RW,SWE,74,205,SWEDEN,Linkoping,2025,2026-01-02T20:32:03.315224,NHL Draft API,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,DET,Eddie,Genborg,
2,13,45,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,CBJ-PHI-ANA,C,CAN,72,166,SWEDEN-JR.,Djurgarden Jr.,2025,2026-01-02T20:32:03.315224,NHL Draft API,Anaheim Ducks,Ducks d'Anaheim,Ducks,Anaheim,d'Anaheim,ANA,Eric,Nilson,
2,14,46,68,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,https://assets.nhle.com/logos/nhl/svg/UTA_dark.svg?season=20252026,UTA,D,CZE,77,185,WHL,Portland,2025,2026-01-02T20:32:03.315224,NHL Draft API,Utah Mammoth,Mammoth de l'Utah,Mammoth,Utah,de l'Utah,UTA,Max,Psenicka,
2,15,47,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,https://assets.nhle.com/logos/nhl/svg/VAN_dark.svg,VAN,G,RUS,75,180,OHL,London,2025,2026-01-02T20:32:03.315224,NHL Draft API,Vancouver Canucks,Canucks de Vancouver,Canucks,Vancouver,de Vancouver,VAN,Alexei,Medvedev,
2,16,48,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,CGY-PHI,RW,USA,75,212,BIG10,Michigan State U.,2025,2026-01-02T20:32:03.315224,NHL Draft API,Philadelphia Flyers,Flyers de Philadelphie,Flyers,Philadelphia,de Philadelphie,PHI,Shane,Vansaghi,
