#,Per,strength,Time:Elapsed Game,Event,Description,Time,timeRemaining,timeInPeriodSec,timeRemainingSec,home_on_ice,away_on_ice,home_goalie,away_goalie,merge_idx,eventId,timeInPeriod,timeRemaining_api,situationCode,homeTeamDefendingSide,typeCode,event_api,sortOrder,period,periodType,maxRegulationPeriods,teamId_,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,shotType,shootingPlayerId,goalieInNetId,awaySOG,homeSOG,playerId,reason,blockingPlayerId,typeCode_1,descKey,duration,committedByPlayerId,drawnByPlayerId,secondaryReason,pptReplayUrl,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,highlightClipSharingUrl,highlightClip,discreteClip,assist2PlayerId,assist2PlayerTotal,isHome,eventTeam,html_event,home_on_id,away_on_id,homeGoalie_on_id,awayGoalie_on_id,home_on_full_name,away_on_full_name,homeGoalie_on_full_name,awayGoalie_on_full_name,home_on_count,away_on_count,homeGoalie_on_count,awayGoalie_on_count,n_home_skaters,n_away_skaters,pulled_home,pulled_away,home_strength,away_strength,gameStrength,detailedGameStrength,elapsedTime,player1Id,player2Id,player3Id,player1Name,player2Name,player3Name,gameId,homeTeam,awayTeam,teamId,isGoalie,venue,venueLocation,gameDate,gameType,startTimeUTC,easternUTCOffset,venueUTCOffset,scrapedOn,source,x_norm,y_norm,distanceFromGoal,angle_signed,strengthDiff,scoreDiff,shooterSkaters,defendingSkaters,shootEmptyNet,previousEvent,previousTeam,previousEventSameTeam,previousElapsedTime,previousEventDistanceFromGoal,previousEventAngleSigned,previousEventXNorm,previousEventYNorm,timeDiff,isRebound,isGoal,xG
21,1,,,ON,,0:21,19:39,21,1179,,,,,,,0:21,,,,,,,1,,,7.0,,,,,,,,,,,1,0,,,,,,01:12,,,,,,,,,0,0,,,,,,True,BUF,,,,,,,,,,,,,,,,,,,,5v5,5v5,21,8481524,,,Bowen Byram,,,2024020001,BUF,NJD,7.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
22,1,,,ON,,0:21,19:39,21,1179,,,,,,,0:21,,,,,,,1,,,7.0,,,,,,,,,,,1,0,,,,,,01:03,,,,,,,,,0,0,,,,,,True,BUF,,,,,,,,,,,,,,,,,,,,5v5,5v5,21,8482175,,,JJ Peterka,,,2024020001,BUF,NJD,7.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
23,1,,,ON,,0:21,19:39,21,1179,,,,,,,0:21,,,,,,,1,,,1.0,,,,,,,,,,,1,0,,,,,,00:43,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,21,8478414,,,Timo Meier,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
24,1,,,OFF,,0:21,19:39,21,1179,,,,,,,0:21,,,,,,,1,,,7.0,,,,,,,,,,,1,0,,,,,,00:21,,,,,,,,,0,0,,,,,,True,BUF,,,,,,,,,,,,,,,,,,,,5v5,5v5,21,8480839,,,Rasmus Dahlin,,,2024020001,BUF,NJD,7.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
25,1,,,OFF,,0:21,19:39,21,1179,,,,,,,0:21,,,,,,,1,,,7.0,,,,,,,,,,,1,0,,,,,,00:21,,,,,,,,,0,0,,,,,,True,BUF,,,,,,,,,,,,,,,,,,,,5v5,5v5,21,8479359,,,Beck Malenstyn,,,2024020001,BUF,NJD,7.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
26,1,,,OFF,,0:21,19:39,21,1179,,,,,,,0:21,,,,,,,1,,,1.0,,,,,,,,,,,1,0,,,,,,00:21,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,21,8476292,,,Ondrej Palat,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
27,1,,,ON,,0:22,19:38,22,1178,,,,,,,0:22,,,,,,,1,,,1.0,,,,,,,,,,,1,0,,,,,,00:42,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,22,8479407,,,Jesper Bratt,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
28,1,,,OFF,,0:22,19:38,22,1178,,,,,,,0:22,,,,,,,1,,,1.0,,,,,,,,,,,1,0,,,,,,00:22,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,22,8480002,,,Nico Hischier,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
29,1,,,ON,,0:23,19:37,23,1177,,,,,,,0:23,,,,,,,1,,,7.0,,,,,,,,,,,1,0,,,,,,00:55,,,,,,,,,0,0,,,,,,True,BUF,,,,,,,,,,,,,,,,,,,,5v5,5v5,23,8477949,,,Alex Tuch,,,2024020001,BUF,NJD,7.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
30,1,,,ON,,0:23,19:37,23,1177,,,,,,,0:23,,,,,,,1,,,1.0,,,,,,,,,,,1,0,,,,,,00:41,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,23,8481559,,,Jack Hughes,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
31,1,,,OFF,,0:23,19:37,23,1177,,,,,,,0:23,,,,,,,1,,,7.0,,,,,,,,,,,1,0,,,,,,00:23,,,,,,,,,0,0,,,,,,True,BUF,,,,,,,,,,,,,,,,,,,,5v5,5v5,23,8477979,,,Nicolas Aube-Kubel,,,2024020001,BUF,NJD,7.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
32,1,,,OFF,,0:23,19:37,23,1177,,,,,,,0:23,,,,,,,1,,,1.0,,,,,,,,,,,1,0,,,,,,00:23,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,23,8475193,,,Tomas Tatar,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
33,1,EV,0:2919:31,MISS,"NJD #63 BRATT, Wrist, Short, Off. Zone, 33 ft. Flub",00:29,19:31,29,1171,"['81', '77', '89', '4', '10']","['86', '28', '63', '7', '17']",['1'],['25'],0.0,302.0,00:29,19:31,1551,right,507.0,missed-shot,21.0,1,REG,3.0,1.0,,,71.0,-28.0,O,,,wrist,8479407.0,8480045.0,1,0,,short,,,,,,,,,,,,,0,0,,,,,,False,NJD,MISS,"[8478043, 8482175, 8477949, 8481524, 8480035]","[8481559, 8478414, 8479407, 8476462, 8483495]",[8480045],[8474593],"['Sam Lafferty', 'JJ Peterka', 'Alex Tuch', 'Bowen Byram', 'Henri Jokiharju']","['Jack Hughes', 'Timo Meier', 'Jesper Bratt', 'Dougie Hamilton', 'Simon Nemec']",['Ukko-Pekka Luukkonen'],['Jacob Markstrom'],5.0,5.0,1.0,1.0,4.0,4.0,0,0,5,5,5v5,5v5,29,8479407,,,Jesper Bratt,,,2024020001,BUF,NJD,1.0,,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,71.0,-28.0,33.28663395418648,-57.264773727892404,0.0,0.0,5.0,5.0,False,GIVE,NJD,True,19,17.88854381999832,-26.56505117707799,73.0,-8.0,10,False,False,0.021012496203184128
34,1,,,ON,,0:29,19:31,29,1171,,,,,,,0:29,,,,,,,1,,,1.0,,,,,,,,,,,1,0,,,,,,00:35,,,,,,,,,0,0,,,,,,False,NJD,,,,,,,,,,,,,,,,,,,,5v5,5v5,29,8476462,,,Dougie Hamilton,,,2024020001,BUF,NJD,1.0,0.0,O2 Czech Republic,Prague,2024-10-04,2,2024-10-04T17:00:00Z,-04:00,+02:00,2026-01-02T20:34:50.880098,NHL Play-by-Play API,,,,,,0.0,,,,,,,,,,,,,,False,
